Category	Mod	DevURL
XVM config builder	----------200m	
XVM config builder	----------500m	
XVM config builder	--------Postmortem	
XVM config builder	----------100m	
XVM config builder	----------200m	
XVM config builder	----------500m	
XVM config builder	--------Strategic	
XVM config builder	----------200m	
XVM config builder	----------500m	
XVM config builder	----modify td brake	
XVM config builder	------disable (limitation, brake is automatically set in sniper view)	
XVM config builder	------enable (no limitation, press "x" manually to activate brake)	
XVM config builder	----dimming and greening in sniper scope (noBinoculars)	
XVM config builder	------dim (enable binoculars view)	
XVM config builder	------don´t dim (disable binoculars view)	
XVM config builder	----recoil effect (for the enabled dynamic camera option)	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----red flash when enemy hit your tank	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	Colorblind Patches for XVM	
XVM config builder	--Enemies Color	
XVM config builder	Clan Icons	
XVM config builder	--use the same Clan Icons that were last installed	
XVM config builder	--Top Clans only (default)	
XVM config builder	--Full EU stand: 2019-10-02	
XVM config builder	--Full NA stand: 2019-10-02	
XVM config builder	--Full RU stand: 2019-10-02	
XVM config builder	--Full ASIA stand: 2019-10-02	
XVM config builder	--show PlayersIcon in new field (right to ClanIcons)	
XVM config builder	Battle Interface modifications (xvm)	
XVM config builder	--6th sense - Icon Duration	
XVM config builder	----2 sec 6th sense icon	
XVM config builder	----5 sec 6th sense icon	
XVM config builder	----10 sec 6th sense icon	
XVM config builder	--Aim Info	
XVM config builder	--Average Damage	
XVM config builder	----Enable	
XVM config builder	----Disable	
XVM config builder	--Assist Log	=HYPERLINK("https://koreanrandom.com/forum/topic/47047-assistlog-py_macro/?tab=comments#comment-442863","link")
XVM config builder	--Battle Efficiency (ingame current wn8 calculator)	
XVM config builder	--Battle Hints	
XVM config builder	----hide trajectory view	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----hide siege indicator	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----hide quest progress	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----hide help screen	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----hide radar hint ("Steel Hunter" mode)	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	--Capture Bar	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	----enable; but hide own progress bar	
XVM config builder	--Damage Indicator + (this is an additional indicator, you still can choose one from "Ingame Info")	=HYPERLINK("https://koreanrandom.com/forum/topic/36620-damageindicator-средствами-xvm/#comments","link")
XVM config builder	--Damage Log	
XVM config builder	----Enable	
XVM config builder	----Disable	
XVM config builder	----move DamageLog in Battle (CTRL+Mouse)	
XVM config builder	----Enable toggling of client default damagelog from game settings	
XVM config builder	--Damage Panel Repair Timers	
XVM config builder	----Enable	
XVM config builder	----Disable	
XVM config builder	--DebugPanel	
XVM config builder	----v1	
XVM config builder	----v2	
XVM config builder	----DebugPanel v3 by Ress	
XVM config builder	----v4	
XVM config builder	----v5	
XVM config builder	----v6	
XVM config builder	----v7	
XVM config builder	----v8	
XVM config builder	----v9	
XVM config builder	--High Caliber Tracker	
XVM config builder	----Enable	
XVM config builder	----Disable	
XVM config builder	--Hitlog	
XVM config builder	----Enable	
XVM config builder	----Disable	
XVM config builder	----move in battle	
XVM config builder	--Hull-Info by HAWG	=HYPERLINK("https://koreanrandom.com/forum/topic/47599-hullxc-hull-armor-informer/  \r\nhttps://discord.gg/a6s5EfB","link")
XVM config builder	--HP Bar	=HYPERLINK("https://koreanrandom.com/forum/topic/39885-%D1%81%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA-py_macro/?tab=comments#hitpoints","link")
XVM config builder	----Default	=HYPERLINK("https://koreanrandom.com/forum/topic/39885-%D1%81%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA-py_macro/?tab=comments#hitpoints","link")
XVM config builder	----Small	=HYPERLINK("https://koreanrandom.com/forum/topic/39885-%D1%81%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA-py_macro/?tab=comments#hitpoints","link")
XVM config builder	--HP Pools / Frag Correlation Bar	=HYPERLINK("https://koreanrandom.com/forum/topic/40350-конфигурации-totalhp-средствами-xvm/","link")
XVM config builder	----Arm	
XVM config builder	----WGL_old	
XVM config builder	----Fallout	
XVM config builder	----Straight	
XVM config builder	----MIAPAK	
XVM config builder	--Last Hit Announcer	
XVM config builder	----Enable	
XVM config builder	----Disable	
XVM config builder	--InfoPanel	
XVM config builder	----InfoPanel masheene	=HYPERLINK("https://koreanrandom.com/forum/topic/36811-infopanel-средствами-xvm/\r\nhttps://aslain.com/index.php?/topic/12034-xvm-infopanel-configs-for-infopanelpy/\r\n","link")
XVM config builder	--Minimap Dead Switch	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--Information Label for Missions (Mission Tracker)	
XVM config builder	--Piercing Chance (possible Penetration Indicator conflict!)	=HYPERLINK("https://koreanrandom.com/forum/topic/37259-","link")
XVM config builder	----penetration / target armor	
XVM config builder	----penetration / target armor / pen chance in percent	
XVM config builder	----pen chance in percent	
XVM config builder	--Postmortem Tips	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--Postmortem Dogtag	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--PreBattleMessages	
XVM config builder	----only timer & conditions	
XVM config builder	--Repair Control	=HYPERLINK("https://koreanrandom.com/forum/topic/36840-repaircontrol-средствами-xvm/","link")
XVM config builder	--Scoreboard	
XVM config builder	----Show Alive	
XVM config builder	----Show Kills	
XVM config builder	--Speed of current tank by HAWG	=HYPERLINK("https://koreanrandom.com/forum/topic/47422-speedxc-tanks-top-speed/ \r\nhttps://discord.gg/grvGWMj","link")
XVM config builder	--Squadmember Color Change	
XVM config builder	----Purple	
XVM config builder	--Target Info	
XVM config builder	--Total Efficiency	
XVM config builder	----Enable	
XVM config builder	----Disable	
XVM config builder	----move the total efficiency label	
XVM config builder	------under the chat (bottom left)	
XVM config builder	------above damagelog	
XVM config builder	--Total HP	
XVM config builder	----Enable total HP	
XVM config builder	----Disable total HP	
XVM config builder	--Vehicle On Fire Announcer	
XVM config builder	----Enable	
XVM config builder	----Disable	
XVM config builder	--WN8 Comparison	
XVM config builder	----WN8 Comparison (Standard)	
XVM config builder	----WN8 Comparison by Slava7572	
XVM config builder	Battle Results modifications (xvm)	
XVM config builder	--Battle Results Page	
XVM config builder	----init page 1	
XVM config builder	----init page 2	
XVM config builder	----init page 3	
XVM config builder	--shots precision and damage in first page under credits and XP	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--totals for your battle efficiency in first page	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--net income of credits in first page	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--total experience in first page	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--crew experience in first page	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	Tank Carousel modifications (xvm)	
XVM config builder	--Disable XVM Tank Cells	
XVM config builder	--Enable XVM Tank Cells	
XVM config builder	----Saves Tanks marked as Reserve (& Crew Auto Return)	
XVM config builder	----Modify Cell Content	
XVM config builder	------Tanks with limited MM in different colors	
XVM config builder	--------Green	
XVM config builder	------From Prebuilt Config Selection	
XVM config builder	--------Normal Style	
XVM config builder	----------1.0 Scale	
XVM config builder	----------0.8 scale	
XVM config builder	----------0.6 scale	
XVM config builder	----------Average Damage	
XVM config builder	------------Enable	
XVM config builder	------------Disable	
XVM config builder	----------Battles Count	
XVM config builder	------------Enable	
XVM config builder	------------Disable	
XVM config builder	----------Win Rate	
XVM config builder	------------Enable	
XVM config builder	------------Disable	
XVM config builder	--------Small Style	
XVM config builder	----------Win Rate	
XVM config builder	------------Enable	
XVM config builder	------------Disable	
XVM config builder	------By CaronteShinigami	
XVM config builder	--------1.0 Scale	
XVM config builder	--------0.8 Scale	
XVM config builder	--Rows - 1	
XVM config builder	--Rows - 2	
XVM config builder	--Rows - 3	
XVM config builder	--Rows - 4	
XVM config builder	--Rows - 5	
XVM config builder	--Rows - Ingame setting	
XVM config builder	--"Restore Tank" cell	
XVM config builder	----show the restore tank cell	
XVM config builder	----hide the restore tank cell	
XVM config builder	--"Buy Tank" cell	
XVM config builder	----Hide cell	
XVM config builder	----Show cell, hide total slots	
XVM config builder	----Show cell, show total slots	
XVM config builder	--"Buy Slot" cell	
XVM config builder	----Hide cell	
XVM config builder	----Show cell, hide total used slots	
XVM config builder	----Show cell, show total used slots	
XVM config builder	Players Panel Modifications (xvm)	
XVM config builder	--Disable (Use WoT playerspanel)	
XVM config builder	--Enable	
XVM config builder	----Starting Position	
XVM config builder	------short	
XVM config builder	------medium (standard)	
XVM config builder	------medium 2	
XVM config builder	------large	
XVM config builder	----HP Bars	
XVM config builder	------inside PlayersPanel	
XVM config builder	--------BIG	
XVM config builder	--------BIG COLORED by vehicle type	
XVM config builder	--------SMALL	
XVM config builder	------outside PlayersPanel	
XVM config builder	--------default	
XVM config builder	--------colored by vehicle type	
XVM config builder	--------colored by vehicle type (elektrosmoker´s vehicle type colors)	
XVM config builder	--------OMC style	
XVM config builder	--------Disabled	
XVM config builder	--------show max HP	
XVM config builder	--------On Key Press	
XVM config builder	--------On Always	
XVM config builder	----Enable small hp numbers for every tank	
XVM config builder	----Enemy Spotted Marker	
XVM config builder	------enable	
XVM config builder	------disable	
XVM config builder	----Friends-Marker	
XVM config builder	------Blacklisted-Marker	
XVM config builder	------change markers position (->) (if tankicons are overlapping)	
XVM config builder	----Show who´s using XVM (xvmUserMarker)	
XVM config builder	------change position of "x" (->)	
XVM config builder	----Show language flag	
XVM config builder	------based on XVM selected language	
XVM config builder	--------change the flag´s position (<-)	
XVM config builder	Statistics color step modifications (xvm)	
XVM config builder	--default config's colorscale	
XVM config builder	--6 step xvm colorscale	
XVM config builder	--7 step wotlabs old colorscale	
XVM config builder	--9 step wot-life colorscale	=HYPERLINK("https://wot-life.com/","link")
XVM config builder	--10 step wotlabs colorscale	
XVM config builder	Garage Interface Modifications (xvm)	
XVM config builder	--Booster Info	
XVM config builder	--Clock	
XVM config builder	----Disable	
XVM config builder	----Enable	
XVM config builder	------Time Format	
XVM config builder	--------12 hour	
XVM config builder	--------24 hour	
XVM config builder	------Change Color to Blue	
XVM config builder	--Bonds Locker	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	--Free XP Locker	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	--Gold Locker	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	--flags in barracks	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--skills in barracks	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--Block vehicle if ammo is lower than...	
XVM config builder	----disabled	
XVM config builder	----20%	
XVM config builder	----50%	
XVM config builder	--"Combat Intelligence" - notifications in the main window and counters in the menu	
XVM config builder	----display pop-up messages in the hangar	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----display unread notifications counter in the menu	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	--Number of perks to show without grouping	
XVM config builder	----8	
XVM config builder	--Crew Auto-return	
XVM config builder	----return crew check box is selected by default	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----Saves Crew Auto Return & Tanks marked as Reserve	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	--Mastery Mark in Tech Tree	
XVM config builder	----Disable	
XVM config builder	----Enable	
XVM config builder	--Notifications counters in the main menu	
XVM config builder	----Missions	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----Campaigns	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----Service Record	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----Store	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	--Removable equipment auto-return	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	--restore selected battle type on switching to another server (only random, frontline and rank battle modes)	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--Session Statistics Button	
XVM config builder	----show button	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----show battle count	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	--show selected battle mode text	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--"Buy premium" button	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--Dogtag Widget	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--"Create squad" text on the squad creation button	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--"General chat" button	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--"Premium shop" button	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--promo of premium vehicle (on the background in the hangar)	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--"Referral Program" button	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--info window with list of received awards for "Reward for Merit"	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	--Server Ping	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	--Server Populations	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	--squad window parameters	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	------show players clan	
XVM config builder	--------disable	
XVM config builder	--------enable	
XVM config builder	------format of vehicle info field	
XVM config builder	--------vehicle level	
XVM config builder	--------minimal - maximal vehicle battle tier	
XVM config builder	--------vehicle level AND minimal - maximal vehicle battle tier	
XVM config builder	--Session Info	
XVM config builder	--Garage Statistics	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	------default	
XVM config builder	------alternative position	
XVM config builder	--Tank Statistics (with gunmark info [MoE])	
XVM config builder	--Tank History Informer in Garage by HAWG	=HYPERLINK("https://koreanrandom.com/forum/topic/47493-yearsxc-tank-history-informer/  \r\nhttps://discord.gg/D7bVw95","link")
XVM config builder	--Tech Tree free XP convert option	
XVM config builder	----Disabled	
XVM config builder	----Enabled	
XVM config builder	--Tooltips	
XVM config builder	----combine icons of equipment and optional devices into one row	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----hide simplified vehicle parameters	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----hide text at bottom of tooltip showing quantity of used eqipment, optional devices and crew	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----display of missing experience to unlock vehicles	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	--Userinfo (Service Record)	
XVM config builder	----initial page for other players service records	
XVM config builder	------awards	
XVM config builder	------hall of fame	
XVM config builder	------statistics	
XVM config builder	------summary	
XVM config builder	------vehicles	
XVM config builder	----initial page for current user service record	
XVM config builder	------awards	
XVM config builder	------hall of fame	
XVM config builder	------statistics	
XVM config builder	------summary	
XVM config builder	------vehicles	
XVM config builder	----show xTE column in the vehicle list	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----set the default focus to the filter text input	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----show filters on tanks	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----enable filter tanks in hangar by default	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	Marker modifications (xvm) (Can Cause FPS loss)	
XVM config builder	--Enabled (Use XVM markers)	
XVM config builder	----Default (or from pre-built page)	
XVM config builder	----elektrosmoker v1	
XVM config builder	----GRAVESTONE Enemy OTM Kill-Symbol by BoingPlatsch	
XVM config builder	----OTM Kill-Symbols	
XVM config builder	----OMC	
XVM config builder	------Enable Focus Shield Marker	
XVM config builder	------Enable Damage Images	
XVM config builder	------Enable Turret Markers	
XVM config builder	------Enable XMQP in markers	
XVM config builder	------Enable Quick Color Marker (Quickstat)	
XVM config builder	------Kill Symbols  (modified for use with OMC Markers)	
XVM config builder	--------OTM Kill Symbols	
XVM config builder	--------GRAVESTONE Enemy OTM Kill-Symbol by BoingPlatsch	
XVM config builder	----Jimbo	
XVM config builder	----Solo	
XVM config builder	----Willster419	
XVM config builder	--Disabled (Use stock WoT markers)	
XVM config builder	Login Modifications (xvm)	
XVM config builder	--Auto-login	
XVM config builder	----Enabled	
XVM config builder	----Disabled	
XVM config builder	--Hide the old replay confirmation window	
XVM config builder	----Enabled	
XVM config builder	----Disabled	
XVM config builder	--Show server ping	
XVM config builder	----Enabled	
XVM config builder	----Disabled	
XVM config builder	--Save last server	
XVM config builder	----Enabled	
XVM config builder	----Disabled	
XVM config builder	--Show server populations	
XVM config builder	----Enabled	
XVM config builder	----Disabled	
XVM config builder	Minimap modifications (xvm)	
XVM config builder	--XVM Minimap	
XVM config builder	----Enabled	
XVM config builder	------Modify HP Circles	
XVM config builder	--------Enable HP circles on by default	
XVM config builder	--------Enable HP circles for alt key press	
XVM config builder	------Modify Minimap Arty Aim Icon	
XVM config builder	--------HAWG´s Arty MiniMap Aim Crosshairs	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	----------green	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------green1	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------green7	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------green13	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------green19	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------green25	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------green31	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	----------pink	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------pink2	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------pink8	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------pink14	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------pink20	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------pink26	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------pink32	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	----------blue	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------blue3	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------blue9	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------blue15	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------blue21	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------blue27	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------blue33	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	----------orange	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------orange4	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------orange10	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------orange16	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------orange22	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------orange28	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------orange34	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	----------red	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------red5	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------red11	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------red17	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------red23	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------red29	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------red35	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	----------white	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------white6	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------white12	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------white18	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------white24	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------white30	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	------------white36	=HYPERLINK("https://wgmods.net/2188/details","link")
XVM config builder	--------Bones´ Arty MiniMap Aim Crosshairs	
XVM config builder	------Modify Minimap Circles	
XVM config builder	--------Enabled - Use XVM circles	
XVM config builder	----------Use the following custom circles	
XVM config builder	------------50m auto detect circle	
XVM config builder	------------vehicle view range circle	
XVM config builder	------------445m maximum spotting range circle	
XVM config builder	------------564m maximum vehicle render/draw range circle	
XVM config builder	------------Arty gun range	
XVM config builder	--------Disabled - Use stock WoT circles	
XVM config builder	------Modify Minimap Icons/Labels	
XVM config builder	--------Enabled - Use XVM Labels	
XVM config builder	--------Disabled - Use stock WoT Labels	
XVM config builder	------Modify Minimap Lines	
XVM config builder	--------Enabled - Use XVM lines	
XVM config builder	--------Disabled - Use stock WoT lines	
XVM config builder	----Disabled	
XVM config builder	--Zoom configuration	
XVM config builder	----Hotkey Left CTRL	
XVM config builder	----Hotkey Left ALT	
XVM config builder	----Minimap zoom - bottom right	
XVM config builder	----Minimap zoom - centered	
XVM config builder	Sound modifications (Custom sounds - !Experts Only!) (xvm)	
XVM config builder	--Disabled	
XVM config builder	--Enabled	
XVM config builder	----remote communication between WoT client and WWISE Authoring Tools	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	----sound events logging in the xvm.log	
XVM config builder	------disable	
XVM config builder	------enable	
XVM config builder	Tweaks	
XVM config builder	--allow multiple WOT instances	
XVM config builder	----disable	
XVM config builder	----enable	
XVM config builder	Bordercolor	
XVM config builder	--blue	
XVM config builder	--purple	
XVM config builder	--yellow	
XVM config builder	--orange	
XVM config builder	--green	
XVM config builder	--fuchsia	
XVM config builder	--aqua	
XVM config builder	Battle Chat	
XVM config builder	--WN8-ChatColor	
Crosshairs	Arty	=HYPERLINK("https://wotsite.net/pritsely/3107-krug-svedeniya-dlya-wot-s-probitiem.html","link")
Crosshairs	--Animated 6 Arty	=HYPERLINK("http://wotsite.net/pritsely/12141-","link")
Crosshairs	--Deegie	=HYPERLINK("https://wotsite.net/pritsely/10503-super-informativnye-pritsely-dlya-world-of-tanks.html","link")
Crosshairs	----V1 blue	
Crosshairs	----V2 green	
Crosshairs	--Harpoon	=HYPERLINK("https://wotsite.net/pritsely/12222-pritsel-garpun-mod-boevogo-interfejsa-dlya-wot.html\r\nhttp://forum.worldoftanks.ru/index.php?/topic/1419789-","link")
Crosshairs	----Standard	
Crosshairs	----Mini	
Crosshairs	----New White	
Crosshairs	--J1mBOs Crosshair	=HYPERLINK("http://wotsite.net/pritsely/4333-","link")
Crosshairs	--LegionLost	=HYPERLINK("https://wgmods.net/search/?owner=201095","link")
Crosshairs	----Arty sight ZF.20E_edition by LegionLost	=HYPERLINK("http://aslain.com/index.php?/topic/12325-1301-legionlost-crosshair-zf20e-edition-v312/","link")
Crosshairs	----Arty sight blue by LegionLost	=HYPERLINK("http://aslain.com/index.php?/topic/12130-1301-legionlost-crosshair-almost-standard-v242/","link")
Crosshairs	--MeltyMapsMathMod	=HYPERLINK("http://wotsite.net/pritsely/8572-","link")
Crosshairs	----Blue	=HYPERLINK("http://wotsite.net/pritsely/4734-sinij-pritsel-dlya-world-of-tanks.html","link")
Crosshairs	----Green	
Crosshairs	--Mjolnir Hammer of Thor	=HYPERLINK("http://wotsite.net/pritsely/12412-","link")
Crosshairs	--Strike	=HYPERLINK("https://wotsite.net/pritsely/12267-zelenyj-pritsel-strajk-dlya-world-of-tanks.html","link")
Crosshairs	----Arty Blue Strike	=HYPERLINK("https://wotsite.net/pritsely/12267-zelenyj-pritsel-strajk-dlya-world-of-tanks.html","link")
Crosshairs	----Arty Green Strike	=HYPERLINK("https://wotsite.net/pritsely/12267-zelenyj-pritsel-strajk-dlya-world-of-tanks.html","link")
Crosshairs	--Sword of Damocles	=HYPERLINK("http://wotsite.net/pritsely/3117-","link")
Crosshairs	----Sword of Damocles (green)	=HYPERLINK("https://wotsite.net/pritsely/12267-zelenyj-pritsel-strajk-dlya-world-of-tanks.html","link")
Crosshairs	----Sword of Damocles (white)	=HYPERLINK("https://wotsite.net/pritsely/12267-zelenyj-pritsel-strajk-dlya-world-of-tanks.html","link")
Crosshairs	--Sight Taipan	
Crosshairs	----Arty Taipan v2	=HYPERLINK("http://wotsite.net/pritsely/9382-","link")
Crosshairs	----Arty Taipan v3 torquoise	
